serial_no,employer_id,employer_name,industry,sub_industry,company_size_band,hq_city,hq_state,hq_country,website_url,linkedin_url,is_faang_company,is_non_profit,slu_partnership_type,slu_partnership_level,slu_partnership_status,slu_partnership_start_date,primary_contact_name,primary_contact_title,primary_contact_email,primary_contact_phone
1,6d922f61-896e-4122-97bd-5c17809c0b7f,Employer 0001,Education,University,Enterprise,New York,NY,USA,https://www.example1.com,https://www.linkedin.com/company/example-1,0,1,Donor,Silver,Prospect,06/22/2022,Alex1 Reed1,Talent Partner,contact1@example.com,+18749773949
2,d6a2c6ce-1fed-4d2d-b3d7-79b01b8be454,Employer 0002,Consulting,IT Services,Medium,Bengaluru,NA,India,https://www.example2.com,https://www.linkedin.com/company/example-2,0,0,Mentorship,Silver,Inactive,09/26/2024,Alex2 Reed2,Recruiter,contact2@example.com,+12808275716
3,763b6f07-457c-4836-9f93-40afadaf8b5d,Employer 0003,Consulting,IT Services,Medium,Dallas,TX,USA,https://www.example3.com,https://www.linkedin.com/company/example-3,0,0,Hiring,Bronze,Active,09/14/2021,Alex3 Reed3,Recruiter,contact3@example.com,+17638081299
4,e16ba45b-7d7a-4a17-9050-a3247f75e995,Employer 0004,Government,Public Sector,Medium,Boston,MA,USA,https://www.example4.com,https://www.linkedin.com/company/example-4,0,0,Academic,Silver,Prospect,10/06/2026,Alex4 Reed4,Recruiter,contact4@example.com,+12172062478
5,fbeb6a6f-be38-4b8c-9e9b-e831c05aeeae,Employer 0005,Healthcare,Provider,Small,Bengaluru,NA,India,https://www.example5.com,https://www.linkedin.com/company/example-5,0,1,None,Silver,Active,04/21/2025,Alex5 Reed5,HR Manager,contact5@example.com,+12257557480
6,a6a9562e-7fec-4fd0-bedb-7f126e1296f7,Employer 0006,Technology,Cloud/Software,Medium,St. Louis,MO,USA,https://www.example6.com,https://www.linkedin.com/company/example-6,0,0,Mentorship,Silver,Inactive,01/19/2023,Alex6 Reed6,Talent Partner,contact6@example.com,+13796818143
7,1ce8a984-11b2-4df3-84f0-d13646bc6db9,Employer 0007,Consulting,IT Services,Enterprise,London,NA,UK,https://www.example7.com,https://www.linkedin.com/company/example-7,0,0,Sponsorship,Silver,Prospect,09/28/2022,Alex7 Reed7,HR Manager,contact7@example.com,+12325677064
8,5e8bf7ec-5ade-4623-85e2-04436dcc3e64,Employer 0008,Technology,Cloud/Software,Medium,London,NA,UK,https://www.example8.com,https://www.linkedin.com/company/example-8,0,0,Academic,Gold,Inactive,06/02/2020,Alex8 Reed8,University Relations,contact8@example.com,+15079723879
9,6024940d-4e08-4bcd-8110-ece8e99521b2,Employer 0009,Consulting,IT Services,Enterprise,New York,NY,USA,https://www.example9.com,https://www.linkedin.com/company/example-9,0,0,Academic,Bronze,Active,04/09/2023,Alex9 Reed9,University Relations,contact9@example.com,+15044331477
10,99083a5b-06f1-4bff-a0b8-3b2c2adfe3f9,Employer 0010,Energy,Utilities,Enterprise,St. Louis,MO,USA,https://www.example10.com,https://www.linkedin.com/company/example-10,0,0,Sponsorship,Gold,Inactive,04/12/2022,Alex10 Reed10,Recruiter,contact10@example.com,+15506588886
11,2b402169-0312-4511-bcb2-fc897779229c,Employer 0011,Healthcare,Provider,Enterprise,Boston,MA,USA,https://www.example11.com,https://www.linkedin.com/company/example-11,0,1,Sponsorship,Bronze,Prospect,11/22/2021,Alex11 Reed11,Talent Partner,contact11@example.com,+17828566570
12,add6ac82-9f5d-47d9-8a22-09933e67be4d,Employer 0012,Logistics,Supply Chain,Small,Seattle,WA,USA,https://www.example12.com,https://www.linkedin.com/company/example-12,0,0,None,Gold,Prospect,06/08/2023,Alex12 Reed12,HR Manager,contact12@example.com,+19259749010
13,4097fe9d-061e-4e35-8ed5-b61fbd5e22cc,Employer 0013,Retail,E-commerce,Large,San Jose,CA,USA,https://www.example13.com,https://www.linkedin.com/company/example-13,0,0,None,Gold,Prospect,09/30/2021,Alex13 Reed13,Talent Partner,contact13@example.com,+12359555325
14,2fb72a3f-4283-46cb-a1b2-17c9e4dba195,Employer 0014,Consulting,IT Services,Large,Seattle,WA,USA,https://www.example14.com,https://www.linkedin.com/company/example-14,0,0,None,Gold,Inactive,10/08/2022,Alex14 Reed14,Talent Partner,contact14@example.com,+17094492669
