serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
1,f031b8c3-c154-4d06-bf34-d56f92661b40,Guest Lecture 0001 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,04/18/2024 14:00,04/18/2024 16:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,274,1,128,102,4.53
2,0a0f1fc6-ba18-46e4-9c55-5bf25023675d,Webinar 0002 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,11/08/2021 14:00,11/08/2021 15:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,626,1,421,277,4.61
3,5269ed25-0ff5-4613-924f-9476bb4c51a8,Workshop 0003 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,03/02/2026 18:00,03/02/2026 19:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,68,1,51,47,3.86
4,56d824ab-6477-481a-9d4e-c582a0973f70,Webinar 0004 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,01/27/2020 18:00,01/27/2020 19:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,496,1,243,185,4.57
5,68d15f0b-3de3-4983-a0fa-7129cd80ceab,Networking Night 0005 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,04/13/2020 18:00,04/14/2020 02:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,326,0,306,186,4.41
6,a0820d1d-36b7-4071-8d01-bd53b7a72446,Guest Lecture 0006 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,02/08/2023 10:00,02/08/2023 14:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,144,1,131,82,4.75
7,b3ac75f5-fa88-4490-9d2b-ab5a11fbed77,Meetup 0007 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,06/05/2025 10:00,06/05/2025 13:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,157,1,51,43,3.56
8,5128dac0-c06e-4970-9932-afe1c2907626,Workshop 0008 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,01/05/2023 18:00,01/06/2023 02:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,128,1,75,52,4.99
9,b0a2400d-734c-4d66-9331-50e47b5f235a,Career Fair 0009 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,12/30/2022 10:00,12/30/2022 11:00,America/Los_Angeles,Virtual,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,808,0,592,469,4.22
10,b563faae-8adf-488c-9e6f-5fe9cfc512d7,Workshop 0010 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,02/07/2024 14:00,02/07/2024 15:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,194,1,145,116,4.33
