serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
1,d60ef1dd-abb4-47d6-8007-6fa3294abce7,2758bec7-dbb0-4bc7-ae51-7bcc277e4245,EMP000001,Associate Consultant,Security,Senior,Contract,On-site,Bengaluru,NA,India,06/11/2024,06/24/2024,08/15/2024,05/23/2026,USD,107704.0,OPT,Handshake,2025-10-25
2,7d5250b9-85dc-42f6-90ca-3587ee623dee,6df422da-605e-4c36-a4cd-8a35296dc0cc,EMP000002,Data Analyst,Security,Junior,Contract,On-site,Boston,MA,USA,08/08/2023,08/12/2023,12/04/2023,04/07/2025,USD,120048.0,STEM OPT,Career Fair,2025-10-25
3,f9550c2b-d2d5-4232-a3ac-0dfee8afc687,609aa29d-d888-47b1-8f96-8adebf1fde23,EMP000003,Data Engineer,Product,Junior,Full-time,Remote,Chicago,IL,USA,02/15/2023,02/18/2023,08/06/2023,07/21/2025,USD,108772.0,Citizen,Referral,2025-10-25
4,37c8e643-fbf2-41b4-9e35-74d09cd2fda4,9349212b-778c-4359-8b78-b6c9d36554c3,EMP000004,Cloud Engineer,Security,Junior,Contract,On-site,Austin,TX,USA,05/18/2021,05/29/2021,09/08/2021,09/08/2022,USD,85421.0,OPT,Career Fair,2025-10-25
5,e33050c7-c14f-4143-ace6-0f624de4c06c,ea3a3212-2016-4418-8d70-5b3438b49015,EMP000005,Data Engineer,Quality,Senior,Contract,On-site,Hyderabad,NA,India,02/04/2022,02/07/2022,06/04/2022,06/17/2023,USD,136002.0,Citizen,LinkedIn,2025-10-25
6,c19631ab-c74f-41b3-b00d-6adee2f9486a,522fe46c-6cc7-447c-b079-00ac30e7588b,EMP000006,Software Engineer,Security,Senior,Full-time,On-site,Hyderabad,NA,India,06/07/2024,06/12/2024,11/19/2024,09/21/2026,USD,115991.0,Citizen,Career Fair,2025-10-25
7,95cdc603-57ba-423e-b01e-7d9b0a67bc2a,e6d730fc-5171-43c5-994f-c5245030219a,EMP000007,Associate Consultant,Security,Mid,Full-time,Hybrid,Hyderabad,NA,India,01/19/2022,01/23/2022,05/19/2022,10/22/2023,USD,94254.0,STEM OPT,Referral,2025-10-25
8,7f5b483d-69fc-426d-a993-f1d0c9beb28a,3752884b-04f7-4122-8e54-39f41f8598e8,EMP000008,Cloud Engineer,Analytics,Senior,Full-time,Hybrid,Chicago,IL,USA,10/26/2024,11/09/2024,05/14/2025,12/31/2026,USD,107202.0,PR,LinkedIn,2025-10-25
9,ee5f1375-590d-4b93-8940-ff7b09017304,8389a39d-3d33-472d-b4fb-30d6a7b46511,EMP000009,Software Engineer,Analytics,Mid,Full-time,On-site,St. Louis,MO,USA,01/02/2022,01/08/2022,08/19/2022,01/31/2024,USD,110138.0,OPT,Handshake,2025-10-25
10,e0184fac-4aa8-43d9-8535-cf641f554a10,9ce1771a-eee4-4a51-bdad-b85e0799e429,EMP000010,QA Engineer,Quality,Junior,Full-time,Hybrid,Hyderabad,NA,India,12/15/2025,12/16/2025,06/08/2026,12/31/2026,USD,126552.0,Other,Career Fair,2025-10-25
